Load, Flux
0, 0
1, 451
2, 580
3, 701
4, 816
5, 909
6, 971
7, 997
8, 1081
9, 1095
10, 1120
11, 1098
12, 1065
13, 1069
14, 1005
15, 971
16, 884
17, 775
18, 645
17, 800
16, 897
15, 970
14, 1012
13, 1082
12, 1096
11, 1093
10, 1071
9, 1089
8, 1079
7, 1030
6, 968
5, 898
4, 818
3, 715
2, 582
1, 458
0, 0
